0.8004 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
4.7850 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
5.6546 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001A293B47F28>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001A293B635C0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.6553 	EXP 	window1: mouseVisible = True
5.6553 	EXP 	window1: recordFrameIntervals = False
5.8206 	EXP 	window1: recordFrameIntervals = True
6.0709 	EXP 	window1: recordFrameIntervals = False
6.2836 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='malgun gothic', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
6.3095 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='malgun gothic', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
6.3299 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='malgun gothic', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
6.3413 	EXP 	Sound sound_1 set volume 1.000
6.3522 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='malgun gothic', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_4', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
6.3530 	EXP 	Sound sound_2 set volume 1.000
6.3639 	EXP 	Created text_5 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='malgun gothic', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_5', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
6.4577 	EXP 	Created back = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='background.png', interpolate=True, mask=None, maskParams=None, name='back', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1.3, 1. ]), texRes=128.0, units='height', win=Window(...))
6.4625 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1.3, 1. ]), texRes=128.0, units='height', win=Window(...))
6.4625 	EXP 	Sound sound_3 set volume 1.000
6.5371 	EXP 	text: autoDraw = True
7.4446 	DATA 	Keypress: space
7.4537 	EXP 	text: autoDraw = False
7.4537 	EXP 	text_2: autoDraw = True
10.4370 	EXP 	text_3: autoDraw = True
10.4538 	EXP 	text_2: autoDraw = False
13.3440 	DATA 	Keypress: 1
13.3537 	EXP 	text_2: autoDraw = False
13.3537 	EXP 	text_3: autoDraw = False
13.3537 	EXP 	text_4: autoDraw = True
16.1806 	DATA 	Keypress: 0
16.1867 	EXP 	text_4: autoDraw = False
16.1867 	EXP 	text_5: autoDraw = True
19.5420 	DATA 	Keypress: space
19.5626 	EXP 	Imported stim.xlsx as conditions, 4 conditions, 4 params
19.5629 	EXP 	Created sequence: random, trialTypes=4, nReps=5, seed=None
19.5632 	EXP 	New trial (rep=0, index=0): {'sound': 'R.wav', 'button': 'R.png', 'corr': 0, 'congruent': 1}
19.6200 	EXP 	text_5: autoDraw = False
19.6200 	EXP 	image: image = 'R.png'
19.6200 	EXP 	back: autoDraw = True
20.6038 	EXP 	image: autoDraw = True
21.8252 	EXP 	New trial (rep=0, index=1): {'sound': 'R.wav', 'button': 'L.png', 'corr': 0, 'congruent': 0}
21.8384 	DATA 	Keypress: 0
21.8532 	EXP 	back: autoDraw = False
21.8532 	EXP 	image: autoDraw = False
21.8532 	EXP 	image: image = 'L.png'
21.8532 	EXP 	back: autoDraw = True
22.8369 	EXP 	image: autoDraw = True
24.3919 	EXP 	New trial (rep=0, index=2): {'sound': 'L.wav', 'button': 'R.png', 'corr': 1, 'congruent': 0}
24.4055 	DATA 	Keypress: 0
24.4233 	EXP 	back: autoDraw = False
24.4233 	EXP 	image: autoDraw = False
24.4233 	EXP 	image: image = 'R.png'
24.4233 	EXP 	back: autoDraw = True
25.4033 	EXP 	image: autoDraw = True
27.0585 	EXP 	New trial (rep=0, index=3): {'sound': 'L.wav', 'button': 'L.png', 'corr': 1, 'congruent': 1}
27.0721 	DATA 	Keypress: 1
27.0874 	EXP 	back: autoDraw = False
27.0874 	EXP 	image: autoDraw = False
